Name,Age,Gender,Breed,Description,Image_URL,Adoption_URL,current_weights,urls
Tainy,2 months,Female,"Retriever, Labrador/Mixed Breed (Medium)","Meet our Puerto Rican pups! These little ones survived thanks to the compassion of a local woman who wouldn't give up on them.

When their mama showed up and gave birth near the woman’s food stand, she kept a close eye on the pups. Mama eventually retreated into the brush to give birth to her last puppy, Tainy, but the woman didn’t know at the time if mama would return. With darkness approaching, the woman didn’t want to leave the puppies alone—so she took them in, keeping them beside her day and night. While she ran her food stand by day, the woman was a cab driver at night. And guess who came along? The woman lovingly bottle fed each of the puppies in between fares, making sure they received enough nutrition to continue growing big and strong.

Eventually, mama returned to the food stand with Tainy to reunite with the rest of her pups. The woman took the whole little family in to keep them safe, and we welcomed these survivors to NYC. Now, they’re ready to find homes!",https://new-s3.shelterluv.com/profile-pictures/7c817ade0fc60dc3362d238991c61b06/09ff2c302b950b83ad1bcea79d122999.jpg,https://animalhaven.org/adopt/adoption-interest-form?animal_s__of_interest=Tainy&hsLang=en,"9.1
             .",https://animalhaven.org/adopt/dogs/212266959-tainy?hsLang=en
Lucky Charms,3 months,Female,Mountain Cur/Mixed Breed (Medium),I just arrived at Animal Haven! Please check back soon for more info about me.,https://new-s3.shelterluv.com/profile-pictures/310e38fad77af14e951a0e222ced3ce8/bec79279e24a47158c77602e5c5346e9.jpg,https://animalhaven.org/adopt/adoption-interest-form?animal_s__of_interest=Lucky%20Charms&hsLang=en,"18.0
             .",https://animalhaven.org/adopt/dogs/212066552-lucky-charms?hsLang=en
Eddie,3 months,Male,"Retriever, Labrador/Mixed Breed (Medium)","Meet Eddie! 

We don’t know much about mom or dad, so we can only guess about Eddie and his siblings' future size! Based on their adorably plump selves right now, we’re thinking they might be medium-sized dogs once fully grown. 

Like any puppy, these little ones are blank slates! You’ll be mom or dad teaching them all their basics, from potty training to leash walking and beyond. Having a puppy is a lot of work, but it’s rewarding—especially with faces as cute as theirs.",https://new-s3.shelterluv.com/profile-pictures/beeb7c86c22120b8e34b2e7982e3d948/efdce19bef0624b50e81248944c888bf.jpg,https://animalhaven.org/adopt/adoption-interest-form?animal_s__of_interest=Eddie&hsLang=en,"15.4
             .",https://animalhaven.org/adopt/dogs/212142983-eddie?hsLang=en
Susie,3 months,Female,"Retriever, Labrador/Mixed Breed (Medium)",I just arrived at Animal Haven! Please check back soon for more info about me.,https://new-s3.shelterluv.com/profile-pictures/60973b45643ae0133a51de559a1997a2/a4eb56d29ef477d7b3cf036402aff5c3.jpg,https://animalhaven.org/adopt/adoption-interest-form?animal_s__of_interest=Susie&hsLang=en,"8.5
             .",https://animalhaven.org/adopt/dogs/212175969-susie?hsLang=en
Teddy,3 months,Male,"Retriever, Labrador/Mixed Breed (Medium)",I just arrived at Animal Haven! Please check back soon for more info about me.,https://new-s3.shelterluv.com/profile-pictures/4a24297e63e1d7164638a4531ef7aa62/e7ed82b295ef475e6f27bc6345a96365.jpg,https://animalhaven.org/adopt/adoption-interest-form?animal_s__of_interest=Teddy&hsLang=en,"9.2
             .",https://animalhaven.org/adopt/dogs/212175977-teddy?hsLang=en
Phil,3 months,Male,"Retriever, Labrador/Mixed Breed (Medium)",I just arrived at Animal Haven! Please check back soon for more info about me.,https://new-s3.shelterluv.com/profile-pictures/c7a6f6a29211df9b0c80a49c4057753a/b2a6edc4dd24c9565a38b5ca2405ba11.jpg,https://animalhaven.org/adopt/adoption-interest-form?animal_s__of_interest=Phil&hsLang=en,"9.6
             .",https://animalhaven.org/adopt/dogs/212175979-phil?hsLang=en
Lizzie,10 months,Female,"Retriever, Yellow Labrador/Mixed Breed (Medium)","Lizzie is your hype girl! She's here to remind you that you're important, special, and loved. 

This bubbly lab mix still has a lot of that goofy puppy energy, but she's a smart girl who's eager to learn. Sadly, it sounds like Lizzie has been passed around a bit in her short life. We're just as excited as she is to find her a stable, loving home! Adopt Lizzie!",https://new-s3.shelterluv.com/profile-pictures/3d69de3fc2d581598986d842bfdc52f2/33a8cd5866de6e4862920edee2e6df37.jpeg,https://animalhaven.org/adopt/adoption-interest-form?animal_s__of_interest=Lizzie&hsLang=en,"49.7
             .",https://animalhaven.org/adopt/dogs/212183611-lizzie?hsLang=en
Roxana,1 year,Female,"Terrier, American Staffordshire/Mixed Breed (Medium)","Roxana was found as a stray in terrible condition. Every rib visible, her body spotted with sores, it's clear she spent many nights—perhaps her whole life—alone, sleeping on hard ground. She wouldn’t have lasted much longer in this condition.

Thankfully, she is now safe with us. 

When Roxana arrived at Animal Haven, she was nothing but sweet, offering small tail wags and hopeful glances. We took her straight to our partner vet for a full workup, where she was friendly and gentle with everyone she met. 

Roxana is not yet out of the woods, but thankfully, she is stable. She's on a special diet to help her safely gain weight. Our team is providing her with lots of enrichment and company to keep her fulfilled while she recuperates.

While her first year-plus of life was one of hardship and neglect, her future promises love and care. And she is sure to return the favor to anyone who opens their heart to this sweet girl.",https://new-s3.shelterluv.com/profile-pictures/a566ccbde1214cd39f3eaf61d8bcff4f/efd02ab5e599b26040627f5d4b2596ef.jpg,https://animalhaven.org/adopt/adoption-interest-form?animal_s__of_interest=Roxana&hsLang=en,"41.0
             .",https://animalhaven.org/adopt/dogs/212096010-roxana?hsLang=en
Nieve,2 years,Female,Dalmatian,"Nieve is sniffin’ out a home of her own—could it be with you?

Despite her lack of spots, this spunky girl is in fact a Dalmatian! Nieve is just under 2 years old, and we suspect she may have been a bit undersocialized before arriving at Animal Haven. She’s been making great strides in our training and rehabilitation program, where she’s learning how to walk politely on leash and navigate the sights, smells, and sounds of our busy city. 

Nieve will do best with a somewhat experienced adopter who can continue reinforcing her basics. An active home would also benefit Nieve, who would make an excellent running, hiking, and adventure buddy. Nieve is learning how to meet other dogs politely, but enjoys making new human friends and can’t wait to show you her favorite tennis ball! Adopt Nieve!",https://new-s3.shelterluv.com/profile-pictures/2639fb8e0385530594fc4e44aa56aa71/95c547f1274327ed566ea125b7a62248.jpg,https://animalhaven.org/adopt/adoption-interest-form?animal_s__of_interest=Nieve&hsLang=en,"54.0
             .",https://animalhaven.org/adopt/dogs/211638740-nieve?hsLang=en
Gina,2 years,Female,Shepherd/Mix,"Meet Gina! This sweet shepherd mix was likely used for breeding—she was seen in a home with a male dog before being abandoned in a nearby parking lot, extremely skinny, anxious, and with signs of having recently given birth. A Good Samaritan found her and tried to return her to the suspected owners, but they refused to answer the door. 

When Gina arrived at Animal Haven, it quickly became clear that something was different about her: She would begin spinning in circles, sometimes snapping at the air in the process. Initially, we thought this might be a neurological problem and consulted with a specialist to conduct an MRI and spinal tap, but the results did not reveal any neurological or medical issues. We then consulted with a veterinary behaviorist, who suspects that Gina’s spinning episodes are caused primarily by environmental triggers. 

Gina now has a long-term plan to help reduce her stress, manage her environment, and provide her with enrichment and decompression time to hopefully reduce her spinning and air-snapping episodes, but this will be a journey. Her adopter will need to be willing to work with Gina and our trainers to manage her environment and continue her regimen. 

While Gina is definitely a project who will do best with an experienced adopter, we can say with certainty that she is a total sweetheart! She’s snuggly, playful, and responsive to treats and toys. Her episodes typically happen when she is loose in a space, whether her kennel or one of our training rooms, and she can be “snapped out” of them fairly easily. Animal Haven will of course provide ongoing support to help Gina transition and settle into her new home and life. Reach out to our team if you’re interested in meeting Gina and learning more about this darling pup!",https://new-s3.shelterluv.com/profile-pictures/3769766bd8d3387d55e1fa5021a304ba/64336cbfa454da95a6e75a797ee194d2.jpg,https://animalhaven.org/adopt/adoption-interest-form?animal_s__of_interest=Gina&hsLang=en,"40.7
             .",https://animalhaven.org/adopt/dogs/210270459-gina?hsLang=en
