Name,Age,Gender,Breed,Description,Image_URL,Adoption_URL,current_weights,sizes,urls
Andy,4 Months,Male,Husky Mix,"A little About Andy...
Andy is a handsome Husky mix with the most gorgeous ocean blue eyes, and silky black and white coat. He is friendly with humans and other dogs and loves to run and play with his canine friends. Be sure to complete an application on line and come to our Meet & Greet Saturday 11:30-1:30.",https://ny-petrescue.org/files/eShop/andy5205.jpg,https://www.cognitoforms.com/PetRescue2/PetRescueDogApplication,23 lbs,Adult size: Medium (35-55 lbs),https://ny-petrescue.org//Adopt-Dogs/details/2970/Andy
Bowie,10 Months,Male,Shih Tzu/Poodle Mix,"A little About Bowie...
Meet Bowie! This adorable 10-month-old bundle of joy is ready to steal your heart! At just 15 pounds of pure love, this sweet, affectionate puppy brings endless energy and enthusiasm to everything he does. He is friendly to all ages, including kids. Bowie gets along wonderfully with other dogs, and would love a playmate. He thrives with canine companions and would do best in a home with another dog and a fenced yard. If you're looking for a fun-loving, affectionate companion to join your pack, this sweet pup might be your perfect match! Be sure to complete an application on line and come to our Meet & Greet Saturday 11:30-1:30.",https://ny-petrescue.org/files/eShop/bowieuse.jpg,https://www.cognitoforms.com/PetRescue2/PetRescueDogApplication,15 lbs,Adult size: Small (35 lbs & under),https://ny-petrescue.org//Adopt-Dogs/details/2985/Bowie
Breezy,2.5  Years,Male,Pit Mix,"A little About Breezy...
Watch a video of Breezy with his foster mom
Breezy has lived with a family, who unfortunately can no longer care for him, but now enjoys time spent with his loving foster family.  Breezy is a handsome gentle guy who is friendly with people, including older kids, and dogs of all sizes... and will never turn down a good scratch behind the ears. Breezy is a sensitive pup... exceptionally affectionate. He can quietly play by himself with a toy, and be happy to relax right next to you, give you gentle kisses, stare lovingly into your eyes, and just keep you company. He walks nicely on the leash, is housebroken, snuggly... and thinks he is a lap dog. A very sweet boy, who will do best in a quiet, suburban environment. Be sure to complete an application on line and come to our Meet & Greet Saturday 11:30-1:30.",https://ny-petrescue.org/files/eShop/breezy7463.jpg,https://www.cognitoforms.com/PetRescue2/PetRescueDogApplication,55 lbs,Adult size: Medium (35-55 lbs),https://ny-petrescue.org//Adopt-Dogs/details/2436/Breezy
Buddy,15 Years,Male,Terrier Mix,"A little About Buddy...
Meet Buddy... A gentle soul seeking companionship. This sweet 15-year-old gentleman is the definition of a perfect companion. With his calm, easygoing nature and friendly disposition, he gets along beautifully with everyone...people and pups alike, and is fully housebroken. What he loves most is simply being near you. Whether you're reading, watching TV, or going about your day, he'll be contentedly by your side. He thrives on companionship and would do best in a home where someone is around much of the time, or where there's another pet to keep him company. If you're looking for a loving, low-key companion who will fill your days with gentle affection and unwavering loyalty, this special senior is ready to steal your heart. Be sure to complete an application on line and come to our Meet & Greet Saturdays 11:30-1:30.",https://ny-petrescue.org/files/eShop/buddy5905-2.jpg,https://www.cognitoforms.com/PetRescue2/PetRescueDogApplication,20 lbs,Adult size: Small (35 lbs & under),https://ny-petrescue.org//Adopt-Dogs/details/3000/Buddy
Cardi,6 Years,Female,Chihuahua Mix,"A little About Cardi...
Meet Cardi… a pup with a heart full of love looking for the perfect match. With her cuddly nature and gentle soul, she’s social with people and has mastered all her manners. She is fully crate trained, is an excellent travel buddy, and is doing very well on potty training.  Wether you’re looking for an active hiking partner or a cozy indoor snuggle buddy, she’s perfectly happy either way. She loves to run and play outdoors but is equally content relaxing at home. This sweet girl thrives in a calm environment and would do best in a home with adults or older children who can appreciate her gentle nature.  She was deeply loved in her current home, but their circumstances have changed, and they can no longer care for her. Could you be the perfect fit for this sweet soul? Be sure to complete an application on line and come to our Meet & Greet Saturdays 11:30-1:30.",https://ny-petrescue.org/files/eShop/cardi2636.jpg,https://www.cognitoforms.com/PetRescue2/PetRescueDogApplication,12 lbs,Adult size: Small (35 lbs & under),https://ny-petrescue.org//Adopt-Dogs/details/2922/Cardi
Casper,1 Year,Male,Chihuahua Mix,"A little About Casper...
Meet Petrescue's own adorable white puppy named Casper. With his expressive dark eyes, forever alert ears and head tilt that seems to say... ""did someone say treat?""... he is waiting to charm his forever family. Casper is housebroken and crate trained. He has a lot of love to give and would do well as the only pet in his forever home. Be sure to complete an application on line and come to our Meet & Greet Saturdays 11:30-1:30.",https://ny-petrescue.org/files/eShop/R7_4925-0001.jpg,https://www.cognitoforms.com/PetRescue2/PetRescueDogApplication,15 lbs,Adult size: Small (35 lbs & under),https://ny-petrescue.org//Adopt-Dogs/details/2899/Casper
Cassie,3 Years,Female,Border Terrier Mix,"A little About Cassie...
Meet Cassie - a very sweet, playful girl who bonds closely with her people and loves a calm, predictable home. Approximately 3 years old and 18 pounds, she is very affectionate, loyal, and happiest when she can relax near her humans. She loves a good cuddle and will happily give lots of kisses!  She would do best in a home where someone is around often, without young children, and ideally as the only dog. She can get overwhelmed by busy environments, other dogs in the home, and being left alone, so she needs a patient adopter who can give her stability and routine. She greets other dogs nicely outside of the home and plays well in a neutral environment, like a dog park. She is housebroken, and leash trained. She also exhibits a preference towards women.  In the right home, she is incredibly loving, devoted, and eager to be someone’s special companion. Be sure to complete an application on line and come to our Meet & greet Saturday 11:30-1:30.",https://ny-petrescue.org/files/eShop/Cassie.jpeg,https://www.cognitoforms.com/PetRescue2/PetRescueDogApplication,18 lbs,Adult size: Small (35 lbs & under),https://ny-petrescue.org//Adopt-Dogs/details/3020/Cassie
Chapo Bear,5 Years,Male,Chihuahua,"A little About Chapo Bear...
Meet Chapo Bear! This little boy is a total 9 pound snuggle bear...nothing but love and snuggles! This sweetheart is the perfect little companion! He is super sweet, friendly with dogs, that match his calm demeanor... and even cats are his friends. He is obedient, and walks nicely on the leash, and is potty trained. Chapo is ready to bring joy and companionship to his forever home. Be sure to complete an application on line and come to our Meet & Greet Saturdays 11:30-1:30.",https://ny-petrescue.org/files/eShop/Screenshot_2025-11-30_105302.png,https://www.cognitoforms.com/PetRescue2/PetRescueDogApplication,9 lbs,Adult size: Small (35 lbs & under),https://ny-petrescue.org//Adopt-Dogs/details/2994/Chapo-Bear
Chico,3 Years,Male,Corgi Mix,"A little About Chico...
Chico is a fun-loving little boy who loves to go for walks in the neighborhood as well as exploring new places on hikes around Westchester and beyond.  He also loves to play with his squeaky toys when he is not cuddling on the couch with his favorite humans.  He is a lowrider who is sure to bring joy to any family.  He plays well with children and knows basic commands such as sit and heel, and is fully housebroken.  Chico will bring fun and joy to any family! If you are interested in meeting Chico, be sure to complete an application on line and come to our Meet & Greet Saturdays 11:30-1:30.",https://ny-petrescue.org/files/eShop/sevro10jpeg.jpeg,https://www.cognitoforms.com/PetRescue2/PetRescueDogApplication,43 lbs,Adult size: Medium (35-55 lbs),https://ny-petrescue.org//Adopt-Dogs/details/2828/Chico
Chloe,3.5 Years,Female,Rat Terrier Mix,"A little About Chloe...
Chloe is an incredibly sweet, loving, and gentle dog who had a tough start to life. She’s cautious and wary of new humans but enjoys the company of other dogs, and once she warms up to you (which could be as quickly as a day or two), she’s playful, happy, and expressive (she’ll gently paw at you to beg for belly rubs!), and Chloe is cat friendly. She is fully housetrained, beautifully crate trained, and is very obedient. She is adorably food motivated and loves nothing more than to lay down next to her favorite human for naps and to give gentle kisses. Chloe would do best in a household with adults - preferably a “mama” figure - as she tends to relax and warm up easiest this way. If you can show her a little calm and patience while she warms up to you, you’ll be rewarded with a goofy, loyal, loving companion for life! Be sure to complete an application on line, monitor our website for updates, and come to our Meet & Greet Saturday 11:30-1:30.",https://ny-petrescue.org/files/eShop/R7_4802.jpg,https://www.cognitoforms.com/PetRescue2/PetRescueDogApplication,28 lbs,Adult size: Small (35 lbs & under),https://ny-petrescue.org//Adopt-Dogs/details/2816/Chloe
Clara,2 Years,Female,Fox Hound,"A little About Clara...
Meet Clara, a beautiful girl with soulful eyes and a gentle nature.  Clara is equal parts nose and heart. She loves long hikes and playtime with other dogs, and an occasional howl. This gentle easygoing pup will thrive with active families and plenty of exercise. Be sure to complete an application on line and come to our Meet & Greet Saturdays 11:30-1:30.",https://ny-petrescue.org/files/eShop/R7_6093.jpg,https://www.cognitoforms.com/PetRescue2/PetRescueDogApplication,35 lbs,Adult size: Medium (35-55 lbs),https://ny-petrescue.org//Adopt-Dogs/details/3001/Clara
Coco,7 Years,Female,Corgi/Husky Mix,"A little About Coco...
Coco is a sweet girl who will steal your heart once she gets to know you...just look at that smile! She will take a little time to warm up, but once she does, she will be your best friend forever. Coco loves belly rubs, snuggles, playtime in the yard, playing fetch and going for walks.  Coco finds city living a little too hectic, and is not suited for apartment living.  She will do well in an adult only home...a house with a fenced in yard.  She is a little snobby and can be dog selective when it cones to choosing canine buddies.  Coco would appreciate a dedicated, enthusiastic companion who will work on building her trust, and she will return that love and trust twofold. Watch a video of sweet Coco.",https://ny-petrescue.org/files/eShop/image3.jpg,https://www.cognitoforms.com/PetRescue2/PetRescueDogApplication,54 lbs,Adult size: Medium (35-55 lbs),https://ny-petrescue.org//Adopt-Dogs/details/1565/Coco
Donner,2 Years,Male,Catahoula Leopard Dog/Australian Shepherd,"A little About Donner...
Donner is a strikingly handsome pup, with a gentle, earnest expression. Donner is probably a Catahoula Leopard dog mix...deep black/ brown on his face, white chest and deep brown coat. He is comfortable in his foster home with his older canine buddy and is friendly to family members and other dogs. Donner is house trained and comfortably sleeps in his crate during the night, he even sometimes chooses to nap there during the day with the door open. Donner enjoys his toys and is patient and receptive to new people. He will be a great addition to his forever family.  Be sure to complete an application on line and come to our Meet & Greet Saturdays 11:30-1:30.",https://ny-petrescue.org/files/eShop/donner6102.jpg,https://www.cognitoforms.com/PetRescue2/PetRescueDogApplication,32 lbs,Adult size: Small (35 lbs & under),https://ny-petrescue.org//Adopt-Dogs/details/2986/Donner
Eleanor,7 Years,Female,Chiweenie,"A little About Eleanor...
Eleanor is a sweet little lovebug waiting for her forever home. She is wee pad and outdoor trained (prefers outside,) loves walks, and prefers nothing better than to snuggle with her human on the couch. She loves to play woth her stuffed toy, and run through the Autumn leaves. She is easygoing, a good listener and catches on to routines very easily. Eleanor is happy to share her home with humans, dogs, and children alike. She most likely would do great with cats as well, though no formal testing has happened. Eleanor sleeps through the night and is an all around good girl. Be sure to complete an application on line and come to our Meet & Greet Saturdays 11:30-1:30",https://ny-petrescue.org/files/eShop/eleanor0.jpeg,https://www.cognitoforms.com/PetRescue2/PetRescueDogApplication,17 lbs,Adult size: Small (35 lbs & under),https://ny-petrescue.org//Adopt-Dogs/details/3009/Eleanor
Enoch,3.5 Years,Male,Husky,"A little About Enoch...
Enoch is a handsome 3.5 year old, Husky who is a blend of the breed’s signature spirit and city-smart manners. Enoch is friendly, completely housebroken, walks beautifully on his leash and is comfortable with city life. He is good with other dogs, and cats, in fact Enoch lived with a cat. If you are interested in meeting Enoch, be sure to complete an application on line and come to our Meet & Greet Saturdays 11:30-1:30.",https://ny-petrescue.org/files/eShop/enoch164.jpg,https://www.cognitoforms.com/PetRescue2/PetRescueDogApplication,65 lbs,Adult size: Large (55 lbs & over),https://ny-petrescue.org//Adopt-Dogs/details/2913/Enoch
Enzo,10 Months,Male,Golden Doodle,"A little About Enzo...
Meet Enzo, a Sweet 10-Month-Old Goldendoodle! This adorable pup is the total package—smart, gentle, and full of love. At just 10 months old, he already knows basic commands...sit, come paw, stay. He is fully housebroken, and also crate trained. Enzo is a quiet guy who doesn’t bark and has a calm, happy energy that makes him a joy to be around. Enzo absolutely loves going on walks, soaking up belly rubs, and curling up at your feet after a good outing. Playtime is his favorite, and he’s wonderfully friendly with both people and other dogs. If you’re looking for a sweet, well-mannered companion who’s ready to bring joy into your home, this Goldendoodle is the perfect match!",https://ny-petrescue.org/files/eShop/enzo7314.jpg,https://www.cognitoforms.com/PetRescue2/PetRescueDogApplication,25 lbs,Adult size: Small (35 lbs & under),https://ny-petrescue.org//Adopt-Dogs/details/3012/Enzo
FOSTER A DOG,Age:,Male,Breed:,"A little About FOSTER A DOG...
Pet Rescue is looking for foster homes who want to help nurture dogs and puppies until they find their furever family.  When you share your home with a rescue dog, you provide them with the love, socialization and support they need to be successful in their future home. As a foster home, you’ll be gathering valuable information about your foster’s behavior which will help to place him/her in the best home.
 
Pet Rescue provides vetting, food and all the essentials necessary for your fosters day-to-day needs, so you can focus on providing love and support to your rescue pup.
What are you waiting for? Complete an application to foster today, and get ready to save a life, and change your life forever.
https://ny-petrescue.org/Adoption-Process",https://ny-petrescue.org/files/eShop/feral_tnr-slider.jpg,https://www.cognitoforms.com/PetRescue2/PetRescueDogApplication,Weight:,Adult size: Small (35 lbs & under),https://ny-petrescue.org//Adopt-Dogs/details/86/FOSTER-A-DOG
Gem,3 Years,Female,Puggle Mix,"A little About Gem...
This sweet 3-year-old pup weighs just 13 lbs and is the perfect companion for any home. She is friendly with people and other dogs, and is settling in nicely in her foster home. Already housebroken and crate-trained, Gem makes life easy. In fact, Gem’s 8 year old human foster brother says “ Gem makes life happier”. quite a recommendation! She already knows basic commands, and has an affectionate and playful personality. Whether you're looking for a snuggle buddy or a playful pal, Gem is eager to find her forever home. Be sure to complete an application on line and come to our Meet & Greet Saturdays 11:30-1:30.",https://ny-petrescue.org/files/eShop/Gem2954-0001.jpg,https://www.cognitoforms.com/PetRescue2/PetRescueDogApplication,13 lbs,Adult size: Small (35 lbs & under),https://ny-petrescue.org//Adopt-Dogs/details/2997/Gem
Kaner,9 Years,Male,Chihuahua,"A little About Kaner...
Hi there, I’m Kaner! I may be 9 years old and just 6 pounds, but don’t let my size or age fool you — I’ve got the heart of a pup half my age! When I wake up, I greet the morning like it’s the best day ever — because it is! There's so much fun to be had! Birds to chase, butterflies to stalk, bees to follow (carefully), and dogs to zoom with. But after all the adventures of the day, I like my dinner, one last stroll, and then it's off to bed by 7pm sharp ... and I sleep like a log until 7am. So, what do you say? If you’re ready to smile more, worry less, and wake up with joy in your heart, I’m your quirky little guy! Come meet him at our Meet & Greet Saturday 11:30-1:30.",https://ny-petrescue.org/files/eShop/kaner2811.jpg,https://www.cognitoforms.com/PetRescue2/PetRescueDogApplication,6 lbs,Adult size: Small (35 lbs & under),https://ny-petrescue.org//Adopt-Dogs/details/2743/Kaner
Keaton,1 year,Male,Husky,"A little About Keaton...
Keaton is a stunningly beautiful boy with the softest, most luxurious coat. He is friendly with other dogs, especially if they are playful, and loves going to the dog park. He fetches and chases balls, especially if it’s his special orange ball. During the day, he is totally chill and a perfect work-from-home companion. He is also very sweet and affectionate, and loves being petted. Though adventurous and affectionate at heart, Keaton is a sensitive soul. He is cautious when introduced to new things, new people and new places, like going to the vet’s office – he reacts by hiding behind the comfort of his person. He loves going on walks so he can patrol the neighborhood squirrels. Keaton is looking for an active, loving home where he can be your best friend. Be sure to complete an application on line and come to our Meet & Greet Saturday 11:30-1:30.",https://ny-petrescue.org/files/eShop/20250403_155903.jpg,https://www.cognitoforms.com/PetRescue2/PetRescueDogApplication,40 lbs,Adult size: Medium (35-55 lbs),https://ny-petrescue.org//Adopt-Dogs/details/2677/Keaton
Kira,5 Months,Female,Hound Mix,"A little About Kira...
Meet Kira! This 5 month hold puppy, with deep, soulful brown eyes, a distinguished black snout,  perfectly floppy ears and a sultry look will steal your heart. Kira is friendly with people and loves to play with her canine buddies. But after play time, she is happy to relax and drink up that sunshine. She is currently accepting treats and belly rubs and of course applications for her new forever home. Be sure to complete an application on line and come to our Meet & Greet Saturdays 11:30-1:30.",https://ny-petrescue.org/files/eShop/kira6109.jpg,https://www.cognitoforms.com/PetRescue2/PetRescueDogApplication,18 lbs,Adult size: Medium (35-55 lbs),https://ny-petrescue.org//Adopt-Dogs/details/2940/Kira
Kobe,2 Years,Male,Standard Poodle,"A little About Kobe...
Meet Kobe, a loving 2 year old Standard Poodle, looking for his forever home. Kobe is bursting with love and friendliness! This curly haired, sweet neutered boy is searching for a new family to love. He's neutered, current on all his vaccinations and has been well-cared for by his previous family, who unfortunately can no longer care for him. Kobe has that wonderful poodle energy and intelligence. He is smart and eager to please. When he is happy  (which is always) he shows it with his whole body. Kobe is a sweet boy who needs an experienced owner with a firm, consistent approach to training.  We are committed to working with Kobe’s new family to help train him to channel all that enthusiasm.  This handsome boy is ready to bring joy, laughter, and unconditional love to his new home. With the right guidance, this lovable goofball will become an amazing companion. He just needs someone who can match his energy with calm, confident leadership. Be sure to complete an application on line and come say hello to Kobe at our Meet & Greet Saturdays 11:30-1:30.",https://ny-petrescue.org/files/eShop/kobe3335.jpg,https://www.cognitoforms.com/PetRescue2/PetRescueDogApplication,62,Adult size: Medium (35-55 lbs),https://ny-petrescue.org//Adopt-Dogs/details/2893/Kobe
Koda,6 Years,Male,Shepherd/Husky Mix,"A little About Koda...
Koda is a handsome, big-hearted, sweet, affectionate pup who is looking for his perfect forever home. At 6 years old, he is housebroken and has  the perfect balance of playful energy and cozy cuddle time. Koda loves to play with toys but also enjoys quiet time,  just settling in next to you on the couch for some quality TV time.  Koda is fine living with cats. Be sure to complete an application on line and come to our Meet & Greet Saturdays 11:30-1:30.",https://ny-petrescue.org/files/eShop/koda2654.jpg,https://www.cognitoforms.com/PetRescue2/PetRescueDogApplication,70 lbs,Adult size: Large (55 lbs & over),https://ny-petrescue.org//Adopt-Dogs/details/2943/Koda
