Name,Age,Gender,Breed,Description,Size,Has_Special_Needs,Is_Housebroken,Is_Hypoallergenic,Is_Ok_With_Other_Cats,Is_Ok_With_Other_Dogs,Is_Ok_With_Other_Kids,Is_Spayed_Neutered,Weight,Image_URL,Adoption_URL,urls
Brianna ,Adult,Female,Mixed Breed,"Meet Brianna — the sweetheart with the cutest Yoda ears! Brianna is a total lovebug who melts hearts wherever she goes. She’s friendly, affectionate, and always ready for an adventure. Whether it’s a leisurely walk or a cozy night in, Brianna’s happiest just being by your side. This resilient girl was found as a stray in New York with multiple large abdominal masses; she desperately needed medical care that the municipal shelter couldn’t provide. Thankfully, she got her second chance with us and is now healthy, healing, and overflowing with gratitude and love. Brianna deserves her happily ever after. If you’re looking for a loyal, gentle, and joyful companion with the most adorable Yoda ears, Brianna is your girl. Apply to adopt Brianna today and give her the forever home she’s been waiting for! All dogs will be altered, microchipped, and receive age-appropriate vaccines prior to adoption. Please note that the listed location for this dog may not be accurate due to technical limitations of this database and we have transportation options available within 6 hours of NYC (so don't let location hold you back)! Interested in fostering or adopting? Need more info on this dog? The first step in the process is filling out an application on our website. Adoption application: www.nycsecondchancerescue.org/general-application/ Foster application: https://www.nycsecondchancerescue.org/dog-foster-application/ Adoption process & fees: www.nycsecondchancerescue.org/process/ For a full list of our available dogs and current adoption promotions, visit: https://nycsecondchancerescue.org/adoptable-dogs/",Medium,,Not Sure,False,Not Sure,Not Sure,Not Sure,,50.5lbs,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5519204/1a208af1d4b1dcb511fc947f5515c922.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2530248&premium=true,https://www.wagtopia.com/search/pet?id=2530248
Emoji,Puppy,Male,Mixed Breed,"Hi! I just arrived! My foster pawrents are getting to know me and will add more info soon. Put Short Bio here: Emoji is a fun loving and adventurous pup! He's got a lot of energy which he burns off by running and chasing his ball and playing with his toys. He's mastered sit and is almost completely potty trained. He's very social loves meeting new people and is interested and likes other dogs! Fill out all below: Personality & Characteristics: spunky, energetic, sweet My foster dog is good with: (Dogs, Kids) My foster dog is: house trained Energy Level (1= calm, 10= high energy): 6 Barker? Or Quiet Pup?: quiet only barks at his toys occasionally Appetite: loves food! 3 meals a day Favorite Things: balls, toys, exploring Commands/Tricks: sit, wait ALL adoptions require a completed application and final contract. The application can be found at WaldosRescue.org and once you are approved to adopt you will be put in touch with the foster to see if it’s a good match. We are a RESCUE not a shelter. We conduct veterinary and personal reference checks during the application approval process. We are unable to contact every applicant for every dog. We will select the best applicant for each dog, based on the dogs needs. Waldos Rescue Pen is a 501c3 whose primary focus is rescuing dogs from the euthanasia list from high kill shelters throughout the United States and Korea.",Small,,True,False,Not Sure,True,Not Sure,,15lbs,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5536608/F3E2DFFA-EDD3-4540-B9FF-D48E72CB9A01.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2576557&premium=true,https://www.wagtopia.com/search/pet?id=2576557
Amped,Adult,Male,Mixed Breed,"Say hi to Amped! Loyal, sweet, and energetic pup. When we first picked him up, he walked right up to us with his tail wagging ready to go home. He went straight into the back seat of the car and took a quiet nap on his hour drive to his temporary home. He warmed up to our family very quickly and likes to check in on us when we go into separate rooms to make sure everything is okay. He's becoming a pro at being in his crate when we are not home and when he uses it to sleep some nights he gives no fuss and quietly sleeps. He is the best pup at using the bathroom outside and has had zero accidents in the house! He is learning to walk slowly and steady on his leash while he takes in all the new sites and scents. Although he is very playful he is equally a snuggler/napper. With some training and lots of love, I guarantee that Amped (aka Ranger) will be the best companion. My foster dog is good with: Dogs (not tested with kids or cats) My foster dog is: Crate trained, house trained, Low shed 3 Keywords for your pup: Loyal, Loving, Playful Energy Level (1 = calm, 10 = high energy): 6 Barker? Or Quiet Pup?: Barks at the door and unfamilar sounds Walking Manners: Learning quickly, already improving on leash Appetite: Mealtime is his favorite. Favorite Things: Mealtime, snuggles, playtime (especially tug of war). Commands/Tricks: Knows “sit,” ""lay down"", learning “stay”, “come”, and ""give me paw"" ALL adoptions require a completed application and final contract. The application can be found at WaldosRescue.org and once you are approved to adopt you will be put in touch with the foster to see if it’s a good match. We are a RESCUE not a shelter. We conduct veterinary and personal reference checks during the application approval process. We are unable to contact every applicant for every dog. We will select the best applicant for each dog, based on the dogs needs. Waldos Rescue Pen is a 501c3 whose primary focus is rescuing dogs from the euthanasia list from high kill shelters throughout the United States and Korea.",Large,,Not Sure,Not Sure,Not Sure,True,Not Sure,,46lbs,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5560905/IMG_1043.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2487250&premium=true,https://www.wagtopia.com/search/pet?id=2487250
Pepper,Young,Male,Mixed Breed/Boxer,"Pepper is the sweetest, most loving boy. He spent his first two years in a happy home with kids after being adopted through Waldo’s, but his owner sadly lost his job and home and can no longer keep him. Pepper loves going on walks and runs and gets an A++ for eating. He’s potty trained and rarely has accidents, though he’s still working on keeping up his good habits in a new home. He loves being petted and gets so excited when it’s time to go outside. He’s playful, gentle, and such a good boy in the house. Pepper has so much love to give and will make the sweetest, happiest companion.",Medium,,False,Not Sure,Not Sure,True,True,,48lbs,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5558091/IMG_2403.jpg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=1651794&premium=true,https://www.wagtopia.com/search/pet?id=1651794
Baby Miami,Adult,Female,Labrador Retriever/Mixed Breed,"Meet Miami — the sunshine girl with a heart full of love! Once a stray in Florida, Baby Miami ended up in a shelter that sadly didn’t have the resources to care for her. Her life was at risk, so we stepped in and brought her all the way to New York. It may not be the palm-tree paradise she came from, but Miami is thriving in the big city. This sweet girl has adorable puppy energy, loves to cuddle, and is completely unaware of her own size, which only makes her more lovable. Miami is a good girl through and through, and she’s ready to shower her forever family with joy and affection. If you’re looking for a happy-hearted, cuddly companion who radiates sunshine wherever she goes, Miami is your girl. All dogs will be altered, microchipped, and receive age-appropriate vaccines prior to adoption. Please note that the listed location for this dog may not be accurate due to technical limitations of this database and we have transportation options available within 6 hours of NYC (so don't let location hold you back)! Interested in fostering or adopting? Need more info on this dog? The first step in the process is filling out an application on our website. Adoption application: www.nycsecondchancerescue.org/general-application/ Foster application: https://www.nycsecondchancerescue.org/dog-foster-application/ Adoption process & fees: www.nycsecondchancerescue.org/process/ For a full list of our available dogs and current adoption promotions, visit: https://nycsecondchancerescue.org/adoptable-dogs/",Large,,Not Sure,False,True,True,Not Sure,,145lbs,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/4448644/IMG_2657.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2010655&premium=true,https://www.wagtopia.com/search/pet?id=2010655
Dogberry (Berry),Puppy,Female,Mixed Breed,"I’m a lovable young pup with a shiny black coat and an even brighter personality. I’m curious, excited, and full of energy— the perfect adventure buddy. Personality & Characteristics: Sweet, social, and smart! I love being near my humans, exploring new things, frolicking in the rain, running and chasing and most of all - soaking up affection and love. I’m still learning some manners, but I’m picking them up quickly. Berry Videos Good with: ✅ Dogs | ✅ Kids | ❓ Cats (not tested yet) I’m: 🐶 Crate trained | 🚽 Working on house training | 🖤 Low shed 3 Keywords for your pup: Playful · Affectionate · Loyal Energy Level (1= calm, 10= high energy): 7 (enough pep for fun walks and playtime, but loves naps too!) Barker? Or Quiet Pup?: Barker (mainly to alert of potty time and looking for attention) Walking Manners: Very good, and getting better every day! I love walks and respond well to gentle guidance on leash. Great on elevators and with greeting others. Loves meeting new people and pups. A little timid of all of the new sights and sounds, will pause to take in new surroundings but no barking and will continue walk without any assistance. Appetite: Big fan of mealtime — food is my love language. Favorite Things: Enrichment toys (like a Kong), running, walks. Commands/Tricks: working on commands but a great 'sitter' in public. ALL adoptions require a completed application and final contract. The application can be found at WaldosRescue.org and once you are approved to adopt you will be put in touch with the foster to see if it’s a good match. We are a RESCUE not a shelter. We conduct veterinary and personal reference checks during the application approval process. We are unable to contact every applicant for every dog. We will select the best applicant for each dog, based on the dogs needs. Waldos Rescue Pen is a 501c3 whose primary focus is rescuing dogs from the euthanasia list from high kill shelters throughout the United States and Korea.",Medium,,Not Sure,Not Sure,Not Sure,True,True,,35 lbs,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5496625/IMG_2178.png,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2546248&premium=true,https://www.wagtopia.com/search/pet?id=2546248
Holly Jolly,Adult,Female,Mixed Breed,"Holly Jolly lives up to her name. She is a bubbly, energetic and friendly girl who always has something to wag her tail about. She loves her long walks and will cozy up beside you when she is at home in between. She is respectful of your things and is completely house broken. She loves people and will try to snuggle up with everyone! She loves her food and is an extremely good leaner/listener as she responds to things like wait, sit, stay, no, and leave it. Personality & Characteristics: My foster dog is good with: Dogs My foster dog is: (Crate trained, House trained, Low shed) Crate trained, House trained 3 Keywords for your pup: Energy Level (1= calm, 10= high energy): Barker? Or Quiet Pup?: Walking Manners: Pulls but is learning and gettig better with her gentle leader! Appetite: lovessss her food!! Does the following: (Gets car sick, nervous outside, has separation anxiety, hates the bath, none of the above) Favorite Thingsjumping on people, wagging her tail, going on long walks, running, cuddling Commands/Tricks: sit, stay, no, leave it ALL adoptions require a completed application and final contract. The application can be found at WaldosRescue.org and once you are approved to adopt you will be put in touch with the foster to see if it’s a good match. We are a RESCUE not a shelter. We conduct veterinary and personal reference checks during the application approval process. We are unable to contact every applicant for every dog. We will select the best applicant for each dog, based on the dogs needs. Waldos Rescue Pen is a 501c3 whose primary focus is rescuing dogs from the euthanasia list from high kill shelters throughout the United States",Medium,,True,Not Sure,Not Sure,True,Not Sure,,40lbs,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/4787849/IMG_9090.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2259693&premium=true,https://www.wagtopia.com/search/pet?id=2259693
Doris,Puppy,Female,Chihuahua/Corgi,"Doris - 1 year, 18lbs, Corgi/Beagle Mix, Spayed This dog is eligible to join our foster-to-adopt program. Please email fostertoadopt@socialteesnyc.org with the animal’s name in the subject line if you are interested! Want to straight up adopt? Submit an adoption application a t socialteesnyc.org Level of dog ownership experience needed: BEGINNER: This means we predict this dog will be low on the challenge scale due to its breed/age combo. Potentially a good fit for someone who has relevant dog care experience (fostering, dog sitting) and is looking to adopt their first pup. Energy level MEDIUM: Needs a daily 60 walk or window of quick paced exercise (minimum) in addition to potty break strolls (10-30 min each). Also needs significant socializing opportunities outside the home and mental stimulation at home like tricks training practice, chew items, and puzzle toys. (This is regardless of dog size – many small breeds were designed for lots of activity and will exhibit unwanted behavior when they’re understimulated.) Okay in the city? We don’t know yet. Most adult dogs do well in the city after they’ve had time to adjust to a new environment, but some never adapt and need homes in the burbs. Potty trained? Probably! Adults usually are, but all will have transitional accidents for the first week or so. A consistent walking route and schedule plus finding spots with grass or dirt can help. Social with other dogs? Yes, but we don’t know to what degree yet. Some like to wrestle with every passing pup, others can coexist well but prefer to keep to themselves. We’ll learn more soon. Social with cats? Not sure yet! Some breed mixes that are generally NOT great matches for homes with cats include large hounds, huskies, and shepherds. Comfortable with children? (ALWAYS requires adult supervision) We’re not sure yet, but we try to err on the side of caution. Respectful kids ages 8 and up are probably a safe bet. Children must always be monitored and taught to interact with dogs of any age respectfully. Medical status Healthy as far as we know. Up to date on their DHPP, Bordetella, and Rabies vaccines; heartworm tested if coming from the South or Puerto Rico ; spayed/neutered; microchipped; treated with dewormer upon intake How this dog ended up with Social Tees: Most of our dogs come via partner groups who help us save them from shelters where they are at risk of euthanasia in Tennessee, Los Angeles and Puerto Rico. There are very few spay/neuter resources there and many more animals in those areas than there are people to adopt them. Rescue groups like ours bring them to the northeast where the desire for pets like these allows us to save their lives. PLEASE NOTE: We cannot guarantee any breed mix, exact age, or full grown size (if the dog is under a year old). We do our best with very educated guesses though! This animal is not at the Social Tees office, all are in foster homes. LEARN MORE ABOUT US: socialteesnyc.org and Instagram @socialteesnyc",Small,,True,False,True,True,True,,,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5533661/image0-25.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2581482&premium=true,https://www.wagtopia.com/search/pet?id=2581482
Wilson,Senior,Male,American Bulldog/American Staffordshire Terrier,"Name: Wilson Age: 9 years old Weight: 75 lbs Breed: American bulldog Mix ⸻ Senior gentleman Wilson has had an unpredictable home for most of his life. He ended up in the shelter a few times because his owner could not take care of him, but he was always eventually reclaimed. When his owner was evicted in September, Wilson and his feline sibling were left behind, trapped in their apartment. Thankfully they were rescued, but for Wilson it was the start of a difficult few months. Back in the city shelter once again, Wilson slowly started to shut down, becoming more anxious everyday, eventually refusing to go on walks, interact with staff and barely eating. In November, Wilson was moved to the euthanasia list and his time was running out. Thankfully, at the last minute a kind hearted foster came forward and agreed to take in this gentle giant so we were able to welcome him to our rescue. Wilson was a little nervous at all the changes, but after a few days of love and attention in a home with 2 cats and a small dog, Wilson relaxed and showed us what an amazing addition to any family he would. Wilson is a happy, playful guy who adores spending time with his people. He doesn’t need to sleep in the bed with you but he would love to curl up in a dog bed right beside you at night. He doesn’t need to be entertained when you want a quiet evening but he would love to snuggle on the couch with you. He doesn’t need you to take him hiking every weekend but he would love a game of fetch at the park. Wilson is cat, dog and kid friendly, but he is a big boy who will need a playdate with dogs and kids before deciding if he is the right match for you. Wilson had some issues with his teeth when he first came to us but has had a full dental and is now in much better shape. He does have some teeth missing and would do well with softer food and treats. If you think you can give Wilson all the love he deserves and would like to meet him, please go to Petstablished.com or follow the link below to complete an application to adopt. All of our animals are in foster homes. For the sake of our animals and foster families, you must have an approved application with references before you can meet them. http://shelterchic.org/adopt/ In order to receive a speedy response to any inquiry, please email us directly at Info@ShelterChic.org or check out our website ShelterChic.org where you will find the answer to most questions about our adoption process and fees. Please remember that our organization is run entirely by volunteers in our spare time, and emails are responded to in order of importance. If you do not hear from us and cannot find the information needed on our website or in our animals profile, please reach out to us again. For more images and tales of our pets in foster-care check out our social media pages @shelterchic and @shelterchicanimals",Large,,True,False,True,True,True,,75lbs,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5535808/IMG_1268.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2585435&premium=true,https://www.wagtopia.com/search/pet?id=2585435
Jackrabbit ,Adult,Male,Labrador Retriever,"Meet Jackrabbit – Your Next Adventure Buddy! 🐾 Smart, curious, and always ready to explore— Jackrabbit is the total package. Once a stray in Mississippi, this outdoorsy pup has blossomed into a confident, enrichment-loving explorer who’s just waiting for the right person to share life’s journey with. Whether it’s a hike through the woods, a stroll through the neighborhood, or learning new tricks, Jackrabbit is eager, attentive, and ready to be your loyal sidekick. He thrives on stimulation, loves being part of the action, and will make every day a little more exciting. All dogs will be altered, microchipped, and receive age-appropriate vaccines prior to adoption. Please note that the listed location for this dog may not be accurate due to technical limitations of this database and we have transportation options available within 6 hours of NYC (so don't let location hold you back)! Interested in fostering or adopting? Need more info on this dog? The first step in the process is filling out an application on our website. Adoption application: www.nycsecondchancerescue.org/general-application/ Foster application: https://www.nycsecondchancerescue.org/dog-foster-application/ Adoption process & fees: www.nycsecondchancerescue.org/proce For a full list of our available dogs and current adoption promotions, visit: https://nycsecondchancerescue.org/adoptable-dogs/",Large,,Not Sure,False,Not Sure,Not Sure,Not Sure,,65 lbs,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5256141/518990984_1285207009879510_3950759111486089897_n.jpg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=979924&premium=true,https://www.wagtopia.com/search/pet?id=979924
